id;name;stock;costoPeso;costoDolar;iva;gananacia;precioVenta;descripcion
Prop-film Autoadherente alimentos 30mx30cm;Prop-film Autoadherente alimentos 30mx30cm;;;;;;;
Regla escolar Pizzini x15cm;Regla escolar Pizzini x15cm;;;;;;;
Regla Maped x15cm Twist N Flex;Regla Maped x15cm Twist N Flex;;;;;;;
Repuesto de calcar Luma N°5 x 8hjs;Repuesto de calcar Luma N°5 x 8hjs;;;;;;;
Repuseto para calcar luma ;Repuseto para calcar luma ;;;;;;;
Resma Ledesma Autor 80 Grs A3;Resma Ledesma Autor 80 Grs A3;;;;;;;
Resma Ledesma Autor 80 Grs A4;Resma Ledesma Autor 80 Grs A4;;;;;;;
Resma papel brillo autoadhesivo sticker calcomanias;Resma papel brillo autoadhesivo sticker calcomanias;;;;;;;
Rollo Orion pvc diseño 45cm x 10 M V/modelo;Rollo Orion pvc diseño 45cm x 10 M V/modelo;;;;;;;
Rollo Orion Pvc translucido Vitraux 45cm x 10m;Rollo Orion Pvc translucido Vitraux 45cm x 10m;;;;;;;
Separador de materia rivadavia N°3 x Hjs;Separador de materia rivadavia N°3 x Hjs;;;;;;;
Separador de materias A4;Separador de materias A4;;;;;;;
Separador de materiss rivadavia N°3 Troq;Separador de materiss rivadavia N°3 Troq;;;;;;;
Separador escolar N3 caton grueso;Separador escolar N3 caton grueso;;;;;;;
Separador Ppr V/licencias;Separador Ppr V/licencias;;;;;;;
Sobre C/boton horizontal A5 Plastel Lama;Sobre C/boton horizontal A5 Plastel Lama;;;;;;;
Sobre candy mediano-chico color;Sobre candy mediano-chico color;;;;;;;
sobre copy plus Tarjeta;sobre copy plus Tarjeta;;;;;;;
Sobre lama con hilo horizontal A4;Sobre lama con hilo horizontal A4;;;;;;;
Sobre oficio ingles;Sobre oficio ingles;;;;;;;
Sorbete;Sorbete;;;;;;;
Talonario Oficce Contrato de automotor;Talonario Oficce Contrato de automotor;;;;;;;
Talonario Oficce Contrato de locacion;Talonario Oficce Contrato de locacion;;;;;;;
Vela Numero Brillo celeste  1-9;Vela Numero Brillo celeste  1-9;;;;;;;
Vela Numero Brillo rosa  1-9;Vela Numero Brillo rosa  1-9;;;;;;;
Vela Numeros brillo rosa azul 0-9;Vela Numeros brillo rosa azul 0-9;;;;;;;
Vengalas con glitter;Vengalas con glitter;;;;;;;
